id,date_time,city,state_id,shape,duration,summary,date_posted
1663,11/28/20 19:20,Sanford,FL,,,MADAR Node 91,12/23/20
1664,11/28/20 17:14,Ardmore,OK,Other,5 seconds,"The creature was tall, slender, dark humanoid.",12/23/20
1665,11/28/20 17:00,Buchanan,MI,Fireball,1 minute,large arching fireworks; no sound; two large glowing circles formed an arch and then split and disappeared,12/23/20
1666,11/28/20 13:00,Menifee,CA,Cigar,very short time-less than,I was taking a walk on November 28th in the early afternoon and noticed a cigar shaped object in the sky hovering/floating vertically i,12/23/20
1667,11/28/20 07:30,North Wilmington,DE,Fireball,20 min,7 fireballs moving horizontally very slowly,12/23/20
1668,11/28/20 06:13,Manchester,CT,,,MADAR Node 151,12/23/20
1669,11/28/20 02:45,Albany,KY,Circle,<2 seconds,Odd light that changed directions.,12/23/20
1670,11/27/20 23:02,Newton,WI,Oval,Seconds,Coming home from work I saw a reddish color orb move from east to west horizon to horizon then seconds later it moved from west to east,12/23/20
1671,11/27/20 20:00,Manchester,CT,Sphere,30 seconds,Glowing blue ball of light moving horizontally across sky then suddenly dropping straight down quickly,12/23/20
1672,11/27/20 18:04,Oak Harbor,WA,,,MADAR Node 58,12/23/20
1673,11/27/20 16:00,Stockton,CA,Sphere,45 seconds,Driving down the road with my wife and I spotted a silver sphere ahead of us. I pulled out my phone and recorded some footage before It,12/23/20
1674,11/27/20 10:44,Elizabeth,CO,,,MADAR Node 34,12/23/20
1675,11/27/20 07:37,Springfield,MO,,,MADAR Node 36,12/23/20
1676,11/27/20 06:00,Belton raymore,MO,Unknown,1 hr,Red green white Light blinking and twinkling  in sky  hovering about a mile up in clear sky,12/23/20
1677,11/27/20 05:00,Rolla,MO,Other,,It was shaped like a boomerang and flying low there were lights in the front and as it passed over we could hear a humming noise,12/23/20
1678,11/27/20 04:00,Eden,ID,Light,Over 1hour,Bright object hovering for more than a hour direction East of my house,12/23/20
1679,11/27/20 03:30,Layton,UT,Other,2mins,Anti gravity no visible thrust and no sound it had to weigh in the hundreds of tons massive,12/23/20
1680,11/27/20 00:50,Eads,TN,,,MADAR Node 32,12/23/20
1681,11/26/20 22:45,Miami,FL,Fireball,80 sec,"After our Thanksgiving feast, we decided to sit around the firepit in the backyard,to talk some and catch up. It was my husband and thr",12/23/20
1682,11/26/20 22:00,Saint Petersburg,FL,Light,3 minutes,Bright Red/Orange pulsating orb above the tree line.,12/23/20
1683,11/26/20 21:00,London,,,1 second,"I was looking at the stars as I smoked a cigarette and saw a strange flash of light. It wasn’t coming down like a shooting star, it was",12/23/20
